ADP,Overall,Name,Position,Team,Times Drafted,Bye
10.05,113.1,John Brown,WR,ARI,291,8
10.06,113.7,Dak Prescott,QB,DAL,558,6
10.07,115.5,Matthew Stafford,QB,DET,482,7
10.08,116.0,Jamaal Charles,RB,DEN,287,5
10.09,117.5,Jordan Matthews,WR,BUF,345,6
10.10,117.6,Seattle Defense,DEF,SEA,275,6
10.10,117.7,Corey Coleman,WR,CLE,449,9
10.12,119.6,Latavius Murray,RB,MIN,412,9
10.12,120.4,Theo Riddick,RB,DET,451,7
11.02,121.6,Kenny Britt,WR,CLE,337,9
11.02,121.7,Matt Forte,RB,NYJ,391,11
11.02,122.2,New England Defense,DEF,NE,271,9
11.03,122.9,Duke Johnson,RB,CLE,541,9
11.04,123.6,Adam Thielen,WR,MIN,342,9
11.07,126.6,CJ Prosise,RB,SEA,373,6
11.07,126.9,Rishard Matthews,WR,TEN,288,8
11.07,127.0,Eli Manning,QB,NYG,278,8
11.07,127.3,Rex Burkhead,RB,NE,791,9
11.08,127.8,Mike Wallace,WR,BAL,251,10
11.08,128.3,Minnesota Defense,DEF,MIN,262,9
11.08,128.4,Zay Jones,WR,BUF,379,6
11.09,129.4,Andy Dalton,QB,CIN,372,6
11.11,131.2,O.J. Howard,TE,TB,380,11
11.11,131.3,Jack Doyle,TE,IND,605,11
11.12,131.7,Arizona Defense,DEF,ARI,225,8
12.01,132.6,Kenny Golladay,WR,DET,262,7
12.04,135.8,Ted Ginn Jr,WR,NO,253,5
12.04,136.0,Carson Wentz,QB,PHI,275,10
12.06,137.7,Taylor Gabriel,WR,ATL,180,5
12.07,139.2,NY Giants Defense,DEF,NYG,210,8
12.09,141.4,Joe Williams,RB,SF,295,11
12.11,142.6,Eric Ebron,TE,DET,579,7
12.11,142.9,Cooper Kupp,WR,LAR,432,8
12.11,143.2,Marlon Mack,RB,IND,614,11
12.12,144.4,Justin Tucker,PK,BAL,644,10
13.01,145.3,Tyrod Taylor,QB,BUF,159,6
13.02,145.5,James White,RB,NE,334,9
13.02,145.6,Jonathan Williams,RB,BUF,415,6
13.02,145.9,Carson Palmer,QB,ARI,261,8
13.03,147.0,Carolina Defense,DEF,CAR,221,11
13.04,148.1,Stephen Gostkowski,PK,NE,498,9
13.07,150.6,Josh Doctson,WR,WAS,213,5
13.07,150.7,Donta Foreman,RB,HOU,433,7
13.07,150.7,DeAndre Washington,RB,OAK,277,10
13.07,150.9,Shane Vereen,RB,NYG,28,8
13.08,151.6,Austin Hooper,TE,ATL,379,5
13.08,152.3,Sterling Shepard,WR,NYG,219,8
13.09,152.5,Antonio Gates,TE,LAC,40,9
13.09,152.5,Jason Witten,TE,DAL,67,6
13.10,153.6,Coby Fleener,TE,NO,184,5
13.10,153.6,Jared Cook,TE,OAK,21,10
13.10,153.8,Giovani Bernard,RB,CIN,86,6
13.10,154.1,Cameron Brate,TE,TB,65,11
13.10,154.2,Alvin Kamara,RB,NO,269,5
13.10,154.4,John Ross,WR,CIN,158,6
13.11,154.6,Wendell Smallwood,RB,PHI,149,10
13.11,154.8,Darren Sproles,RB,PHI,166,10
13.11,154.9,Matt Bryant,PK,ATL,176,5
13.11,155.4,Tarik Cohen,RB,CHI,22,9
13.11,155.4,Dion Lewis,RB,NE,152,9
13.11,155.4,Dan Bailey,PK,DAL,161,6
13.12,155.6,Cole Beasley,WR,DAL,181,6
13.12,155.6,Julius Thomas,TE,MIA,169,11
14.01,156.5,DeAngelo Williams,RB,PIT,16,9
14.01,157.1,Alfred Morris,RB,DAL,135,6
14.01,157.4,Mohamed Sanu,WR,ATL,132,5
14.02,157.6,Jay Cutler,QB,MIA,137,11
14.02,157.8,Robby Anderson,WR,NYJ,133,11
14.02,158.1,James Conner,RB,PIT,219,9
14.02,158.1,Christopher Carson,RB,SEA,33,6
14.03,159.2,DeAngelo Henderson,RB,DEN,81,5
14.04,159.6,Tyler Lockett,WR,SEA,177,6
14.04,159.8,Philadelphia Defense,DEF,PHI,318,10
14.04,160.1,Alex Smith,QB,KC,45,10
14.04,160.4,Baltimore Defense,DEF,BAL,274,10
14.05,160.8,Evan Engram,TE,NYG,66,8
14.05,161.0,Chris Hogan,WR,NE,16,9
14.05,161.3,Travis Benjamin,WR,LAC,35,9
14.05,161.3,Kevin White,WR,CHI,122,9
14.06,161.5,Kenny Stills,WR,MIA,23,11
14.06,162.0,Allen Hurns,WR,JAC,23,8
14.06,162.1,Mason Crosby,PK,GB,140,8
14.06,162.4,J.J. Nelson,WR,ARI,65,8
14.06,162.4,Deshaun Watson,QB,HOU,77,7
14.07,162.7,Devin Funchess,WR,CAR,73,11
14.07,163.4,Sam Bradford,QB,MIN,72,9
14.07,163.4,Nelson Agholor,WR,PHI,29,10
14.08,163.9,Pittsburgh Defense,DEF,PIT,349,9
14.08,164.4,Atlanta Defense,DEF,ATL,107,5
14.09,164.9,Jacksonville Defense,DEF,JAC,133,8
14.09,165.2,Joe Flacco,QB,BAL,25,10
14.10,165.6,LA Rams Defense,DEF,LAR,168,8
14.10,165.9,Oakland Defense,DEF,OAK,15,10
14.10,166.1,Wil Lutz,PK,NO,144,5
14.11,166.5,Tampa Bay Defense,DEF,TB,30,11
14.11,166.9,Brandon McManus,PK,DEN,106,5
14.11,167.4,Sebastian Janikowski,PK,OAK,164,10
15.01,169.0,Cairo Santos,PK,KC,127,10
15.02,169.5,LA Chargers Defense,DEF,LAC,29,9
15.02,169.8,Adam Vinatieri,PK,IND,155,11
15.02,169.9,Matt Prater,PK,DET,138,7
15.03,170.7,Buffalo Defense,DEF,BUF,57,6
15.03,171.2,Chris Boswell,PK,PIT,106,9
15.03,171.3,Blair Walsh,PK,SEA,87,6
15.03,171.4,Dustin Hopkins,PK,WAS,87,5
15.05,172.8,Graham Gano,PK,CAR,61,11
15.06,174.2,Steven Hauschka,PK,BUF,33,6
